flight_id date hour runway
221003SAS1327 221003 17 01R
221003SAS1464 221003 08 01L
221003SAS1468 221003 16 01R
221003SAS1472 221003 19 01L
221003SAS1474 221003 22 01R
221003SAS1900 221003 05 01L
221003SAS1902 221003 14 01R
221003SAS1920 221003 15 01R
221003SAS1926 221003 17 01L
221003SAS212 221003 09 01R
221003SAS222 221003 16 01L
221003SAS2302 221003 05 01L
221003SAS2306 221003 13 01R
221003SAS2308 221003 18 01L
221003SAS236 221003 04 01L
221003SAS238 221003 05 01L
221003SAS252 221003 08 01L
221003SAS260 221003 09 01R
221003SAS262 221003 11 01R
221003SAS268 221003 12 01R
221003SAS305 221003 05 01L
221003SAS319 221003 17 01R
221003SAS335 221003 04 01L
221003SAS33R 221003 15 01R
221003SAS341 221003 06 01L
221003SAS355 221003 11 01L
221003SAS361 221003 13 01L
221003SAS371 221003 15 01R
221003SAS373 221003 16 01R
221003SAS392 221003 06 01L
221003SAS394 221003 11 01R
221003SAS396 221003 16 01R
221003SAS39A 221003 19 01R
221003SAS4002 221003 04 01L
221003SAS4004 221003 05 01L
221003SAS4008 221003 06 01L
221003SAS4010 221003 07 01L
221003SAS4016 221003 10 01R
221003SAS4026 221003 14 01R
221003SAS4038 221003 16 01R
221003SAS4042 221003 17 01L
221003SAS4063 221003 12 01R
221003SAS4079 221003 06 01L
221003SAS4083 221003 10 01R
221003SAS4095 221003 17 01L
221003SAS4105 221003 06 01L
221003SAS4107 221003 10 01R
221003SAS4113 221003 14 01R
221003SAS4117 221003 16 01R
221003SAS411P 221003 08 01R
221003SAS42C 221003 17 01R
221003SAS42L 221003 06 01L
221003SAS4417 221003 13 01R
221003SAS4473 221003 11 01R
221003SAS4479 221003 20 01L
221003SAS4491 221003 15 01L
221003SAS44Z 221003 08 01R
221003SAS4515 221003 05 01L
221003SAS4517 221003 13 01R
221003SAS4545 221003 14 01R
221003SAS460 221003 15 01L
221003SAS4604 221003 13 01R
221003SAS4608 221003 14 01L
221003SAS4676 221003 13 01L
